Name,Stat,PP,UD,DIF,PERC
Mitchell Robinson,NBA Points,6.5,7.5,1.0,14.29
Quentin Grimes,NBA Points,6.5,7.5,1.0,14.29
Mitchell Robinson,NBA Points,6.5,7.5,1.0,14.29
Mitchell Robinson,NBA Points,6.5,7.5,1.0,14.29
Quentin Grimes,NBA Points,6.5,7.5,1.0,14.29
Quentin Grimes,NBA Points,6.5,7.5,1.0,14.29
Mitchell Robinson,NBA Points,6.5,7.5,1.0,14.29
Mitchell Robinson,NBA Points,6.5,7.5,1.0,14.29
Quentin Grimes,NBA Points,6.5,7.5,1.0,14.29
Quentin Grimes,NBA Points,6.5,7.5,1.0,14.29
Buddy Hield,NBA Rebounds,3.5,4.0,0.5,13.33
Buddy Hield,NBA Rebounds,3.5,4.0,0.5,13.33
Buddy Hield,NBA Rebounds,3.5,4.0,0.5,13.33
Buddy Hield,NBA Rebounds,3.5,4.0,0.5,13.33
Buddy Hield,NBA Rebounds,3.5,4.0,0.5,13.33
Daniel Gafford,NBA FS,22.5,19.85,2.65,12.51
Daniel Gafford,NBA FS,22.5,19.85,2.65,12.51
Daniel Gafford,NBA FS,22.5,19.85,2.65,12.51
Daniel Gafford,NBA FS,22.5,19.85,2.65,12.51
Daniel Gafford,NBA FS,22.5,19.85,2.65,12.51
Kyle Lowry,NBA FS,20.5,23.05,2.55,11.71
Kyle Lowry,NBA FS,20.5,23.05,2.55,11.71
Kyle Lowry,NBA FS,20.5,23.05,2.55,11.71
Kyle Lowry,NBA FS,20.5,23.05,2.55,11.71
Kyle Lowry,NBA FS,20.5,23.05,2.55,11.71
Deni Avdija,NBA Points,10.5,9.5,1.0,10.0
Deni Avdija,NBA Points,10.5,9.5,1.0,10.0
Deni Avdija,NBA Points,10.5,9.5,1.0,10.0
Deni Avdija,NBA Points,10.5,9.5,1.0,10.0
Deni Avdija,NBA Points,10.5,9.5,1.0,10.0
Tyus Jones,NBA Assists,5.5,6.0,0.5,8.7
Tyus Jones,NBA Assists,5.5,6.0,0.5,8.7
Tyus Jones,NBA Assists,5.5,6.0,0.5,8.7
Tyus Jones,NBA Assists,5.5,6.0,0.5,8.7
Tyus Jones,NBA Assists,5.5,6.0,0.5,8.7
Coby White,NBA FS,22.5,24.25,1.75,7.49
Coby White,NBA FS,22.5,24.25,1.75,7.49
Coby White,NBA FS,22.5,24.25,1.75,7.49
Coby White,NBA FS,22.5,24.25,1.75,7.49
Coby White,NBA FS,22.5,24.25,1.75,7.49
Josh Richardson,NBA Points,7.0,6.5,0.5,7.41
Josh Richardson,NBA Points,7.0,6.5,0.5,7.41
Josh Richardson,NBA Points,7.0,6.5,0.5,7.41
Josh Richardson,NBA Points,7.0,6.5,0.5,7.41
Josh Richardson,NBA Points,7.0,6.5,0.5,7.41
Spencer Dinwiddie,NBA Points,15.5,14.5,1.0,6.67
Spencer Dinwiddie,NBA Points,15.5,14.5,1.0,6.67
Spencer Dinwiddie,NBA Points,15.5,14.5,1.0,6.67
Spencer Dinwiddie,NBA Points,15.5,14.5,1.0,6.67
Spencer Dinwiddie,NBA Points,15.5,14.5,1.0,6.67
Xavier Tillman,NBA Rebounds,7.5,8.0,0.5,6.45
Xavier Tillman,NBA Rebounds,7.5,8.0,0.5,6.45
Xavier Tillman,NBA Rebounds,7.5,8.0,0.5,6.45
Xavier Tillman,NBA Rebounds,7.5,8.0,0.5,6.45
Xavier Tillman,NBA Rebounds,7.5,8.0,0.5,6.45
Nikola Jokic,NBA Assists,9.0,8.5,0.5,5.71
Nikola Jokic,NBA Assists,9.0,8.5,0.5,5.71
Nikola Jokic,NBA Assists,9.0,8.5,0.5,5.71
Nikola Jokic,NBA Assists,9.0,8.5,0.5,5.71
Nikola Jokic,NBA Assists,9.0,8.5,0.5,5.71
Luka Doncic,NBA FS,52.5,55.55,3.05,5.65
Luka Doncic,NBA FS,52.5,55.55,3.05,5.65
Luka Doncic,NBA FS,52.5,55.55,3.05,5.65
Luka Doncic,NBA FS,52.5,55.55,3.05,5.65
Luka Doncic,NBA FS,52.5,55.55,3.05,5.65
Bam Adebayo,NBA FS,37.5,39.65,2.15,5.57
Bam Adebayo,NBA FS,37.5,39.65,2.15,5.57
Bam Adebayo,NBA FS,37.5,39.65,2.15,5.57
Bam Adebayo,NBA FS,37.5,39.65,2.15,5.57
Bam Adebayo,NBA FS,37.5,39.65,2.15,5.57
Daniel Gafford,NBA Points,9.0,9.5,0.5,5.41
Daniel Gafford,NBA Points,9.0,9.5,0.5,5.41
Daniel Gafford,NBA Points,9.0,9.5,0.5,5.41
Daniel Gafford,NBA Points,9.0,9.5,0.5,5.41
Daniel Gafford,NBA Points,9.0,9.5,0.5,5.41
Chris Paul,NBA Points,9.5,10.0,0.5,5.13
Kentavious Caldwell-Pope,NBA FS,19.0,18.05,0.95,5.13
Shaedon Sharpe,NBA RA,10.0,9.5,0.5,5.13
Chris Paul,NBA Points,9.5,10.0,0.5,5.13
Chris Paul,NBA Points,9.5,10.0,0.5,5.13
Kentavious Caldwell-Pope,NBA FS,19.0,18.05,0.95,5.13
Kentavious Caldwell-Pope,NBA FS,19.0,18.05,0.95,5.13
Shaedon Sharpe,NBA RA,10.0,9.5,0.5,5.13
Shaedon Sharpe,NBA RA,10.0,9.5,0.5,5.13
Chris Paul,NBA Points,9.5,10.0,0.5,5.13
Chris Paul,NBA Points,9.5,10.0,0.5,5.13
Kentavious Caldwell-Pope,NBA FS,19.0,18.05,0.95,5.13
Kentavious Caldwell-Pope,NBA FS,19.0,18.05,0.95,5.13
Shaedon Sharpe,NBA RA,10.0,9.5,0.5,5.13
Shaedon Sharpe,NBA RA,10.0,9.5,0.5,5.13
Tyrese Haliburton,NBA Points,19.5,20.5,1.0,5.0
Tyrese Haliburton,NBA Points,19.5,20.5,1.0,5.0
Tyrese Haliburton,NBA Points,19.5,20.5,1.0,5.0
Tyrese Haliburton,NBA Points,19.5,20.5,1.0,5.0
Tyrese Haliburton,NBA Points,19.5,20.5,1.0,5.0
Damian Lillard,NBA RA,10.0,10.5,0.5,4.88
Damian Lillard,NBA RA,10.0,10.5,0.5,4.88
Damian Lillard,NBA RA,10.0,10.5,0.5,4.88
Damian Lillard,NBA RA,10.0,10.5,0.5,4.88
Damian Lillard,NBA RA,10.0,10.5,0.5,4.88
Evan Mobley,NBA FS,36.0,37.75,1.75,4.75
Evan Mobley,NBA FS,36.0,37.75,1.75,4.75
Evan Mobley,NBA FS,36.0,37.75,1.75,4.75
Evan Mobley,NBA FS,36.0,37.75,1.75,4.75
Evan Mobley,NBA FS,36.0,37.75,1.75,4.75
Klay Thompson,NBA FS,27.5,26.25,1.25,4.65
Jamal Murray,NBA RA,11.0,10.5,0.5,4.65
Deandre Ayton,NBA Rebounds,11.0,10.5,0.5,4.65
Klay Thompson,NBA FS,27.5,26.25,1.25,4.65
Klay Thompson,NBA FS,27.5,26.25,1.25,4.65
Jamal Murray,NBA RA,11.0,10.5,0.5,4.65
Jamal Murray,NBA RA,11.0,10.5,0.5,4.65
Deandre Ayton,NBA Rebounds,11.0,10.5,0.5,4.65
Deandre Ayton,NBA Rebounds,11.0,10.5,0.5,4.65
Klay Thompson,NBA FS,27.5,26.25,1.25,4.65
Klay Thompson,NBA FS,27.5,26.25,1.25,4.65
Jamal Murray,NBA RA,11.0,10.5,0.5,4.65
Jamal Murray,NBA RA,11.0,10.5,0.5,4.65
Deandre Ayton,NBA Rebounds,11.0,10.5,0.5,4.65
Deandre Ayton,NBA Rebounds,11.0,10.5,0.5,4.65
RJ Barrett,NBA FS,27.0,25.85,1.15,4.35
RJ Barrett,NBA FS,27.0,25.85,1.15,4.35
RJ Barrett,NBA FS,27.0,25.85,1.15,4.35
RJ Barrett,NBA FS,27.0,25.85,1.15,4.35
RJ Barrett,NBA FS,27.0,25.85,1.15,4.35
Jalen Brunson,NBA FS,35.0,36.55,1.55,4.33
Zach LaVine,NBA FS,35.0,36.55,1.55,4.33
Jalen Brunson,NBA FS,35.0,36.55,1.55,4.33
Jalen Brunson,NBA FS,35.0,36.55,1.55,4.33
Zach LaVine,NBA FS,35.0,36.55,1.55,4.33
Zach LaVine,NBA FS,35.0,36.55,1.55,4.33
Jalen Brunson,NBA FS,35.0,36.55,1.55,4.33
Jalen Brunson,NBA FS,35.0,36.55,1.55,4.33
Zach LaVine,NBA FS,35.0,36.55,1.55,4.33
Zach LaVine,NBA FS,35.0,36.55,1.55,4.33
Marcus Smart,NBA FS,32.0,30.65,1.35,4.31
Marcus Smart,NBA FS,32.0,30.65,1.35,4.31
Marcus Smart,NBA FS,32.0,30.65,1.35,4.31
